Name,DEQ Number,Title,Document Date
DAQ-2011-003144 - 0901a06880226bbb,DAQ-2011-003144,Big West Oil Co. - Flying J Refinery - Partial Compliance Evaluation #2 of 4,4/12/2011
DAQ-2011-003145 - 0901a06880226bbc,DAQ-2011-003145,Big West Oil Co. - North Salt Lake Refinery - 1st Qtr 2011 CEM Excess Emissions Report,3/11/2011
DAQ-2011-003146 - 0901a06880226bf4,DAQ-2011-003146,Big West Oil Co. - North Salt Lake Refinery - Sulfur Recovery Unit Turnaround Schedule,3/29/2011
DAQ-2011-003147 - 0901a06880226bf5,DAQ-2011-003147,Big West Oil Co. - North Salt Lake Refinery - Notification of Tank 51 Returning to Liquid Petroleum Service,4/6/2011
DAQ-2011-003148 - 0901a06880226bf6,DAQ-2011-003148,Big West Oil Co. - North Salt Lake Refinery - Notification of Tank 62 Returning to Liquid Petroleum Service,4/6/2011
DAQ-2011-003149 - 0901a06880226bf7,DAQ-2011-003149,Big West Oil Co. - North Salt Lake Refinery - 1st Qtr 2011 VOC Monitoring Report,4/7/2011
DAQ-2011-003551 - 0901a068802351bf,DAQ-2011-003551,Big West Oil LLC - Intial Breakdown Notification for Amine Gas Treating Unit - 5/1/2011,5/2/2011
DAQ-2011-003552 - 0901a068802351c0,DAQ-2011-003552,Big West Oil LLC - Breakdown Notification for Amine Gas Treating Unit - 5/1/2011,5/6/2011
DAQ-2011-003553 - 0901a068802351c1,DAQ-2011-003553,Big West Oil LLC - Initial Breakdown Notification for MSCC Unit - 5/6/2011,5/6/2011
DAQ-2011-003554 - 0901a068802351c2,DAQ-2011-003554,Big West Oil LLC - Breakdown Notification for MSCC Unit - 5/6/2011,5/11/2011
DAQ-2011-003751 - 0901a06880246064,DAQ-2011-003751,Big West Oil LLC - Flying J Refinery - Review of Stack Test Report dated 9/17/2010,6/13/2011
DAQ-2011-003884 - 0901a06880249a10,DAQ-2011-003884,Big West Oil LLC - North Salt Lake Refinery - QQQ Semiannual Report - 10/16/2010 to 4/15/2011,6/13/2011
DAQ-2011-004041 - 0901a0688025149b,DAQ-2011-004041,Big West Oil Co. - Flying J - Partial Inspection - RA/PST Audits,6/30/2011
DAQ-2011-004043 - 0901a0688025149d,DAQ-2011-004043,Big West Oil Co. - Flying J - Pretest Protocol Review letter,7/7/2011
DAQ-2011-004044 - 0901a068802514aa,DAQ-2011-004044,Big West Oil Co. - Flying J - Pretest Protocol Review memo & Protocol dated 6/28/2011,7/6/2011
DAQ-2011-004115 - 0901a0688025149c,DAQ-2011-004115,Big West Oil Co. - Flying J - RATA Report,6/17/2011
DAQ-2011-004151 - 0901a0688025a9a0,DAQ-2011-004151,Big West Oil - North Salt Lake Refinery - 2nd Qtr 2011 CEM Report certification,7/28/2011
DAQ-2011-004152 - 0901a0688025a9a1,DAQ-2011-004152,Big West Oil - North Salt Lake Refinery - Seminannual NSPS VOC Monitoring Report,7/13/2011
DAQ-2011-004153 - 0901a0688025a9a2,DAQ-2011-004153,Big West Oil - North Salt Lake Refinery - Semiannual Fuel Usage Report - 1/1/2011 to 6/30/2011,7/27/2011
DAQ-2011-004154 - 0901a0688025a9a3,DAQ-2011-004154,Big West Oil - North Salt Lake Refinery - 2nd Qtr 2011 VOC Monitoring Report,7/13/2011
DAQ-2011-004155 - 0901a0688025a9f6,DAQ-2011-004155,Big West Oil - North Salt Lake Refinery - MACT II Semiannual Report,7/28/2011
DAQ-2011-004156 - 0901a0688025a9f7,DAQ-2011-004156,Big West Oil - North Salt Lake Refinery - 2nd Qtr 2011 SEDR Review letter,8/4/2011
DAQ-2011-004157 - 0901a0688025a9f8,DAQ-2011-004157,Big West Oil - North Salt Lake Refinery - 2nd Qtr 2011 SEDR Review memo,8/1/2011
DAQ-2011-004361 - 0901a068802605bf,DAQ-2011-004361,Big West Oil - Partial Compliance Evaluation #3 of 4,7/28/2011
DAQ-2011-004362 - 0901a068802605c1,DAQ-2011-004362,Big West Oil - Full Compliance Evaluation #4 of 4,7/28/2011
DAQ-2011-004363 - 0901a068802605d1,DAQ-2011-004363,Big West Oil - Notification of Tank 5 Returning to Liquid Petroleum Service,8/13/2011
DAQ-2011-004485 - 0901a068802685b8,DAQ-2011-004485,Big West Oil Co. LLC - Pretest Protocol Review letter,8/30/2011
